id,genus,species,subspecies,name,recordist,country,location,latitude,longitude,altitude,sound_type,source_url,license,time,date,remarks,filename,mean,median,std_dev,minimum,maximum
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-0.wav,187.3340775,224.0,72.39215281868604,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-1.wav,187.759795,226.0,72.19699776692916,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-4.wav,181.4958625,225.0,78.07360653819633,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-5.wav,193.4573725,220.0,66.525150341027,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-6.wav,184.3956425,219.0,75.1599087580087,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-8.wav,181.64365,224.0,78.14997072729777,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-9.wav,183.80711,224.0,75.80473622042294,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-11.wav,182.48078,223.0,76.543177034871,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-14.wav,178.15259,219.0,80.62855180574623,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-15.wav,184.415625,226.0,76.2259399473655,0.0,255.0
557838,Thryomanes,bewickii,,Bewick's Wren,Whitney Neufeld-Kaiser,United States,"Arlington, Snohomish County, Washington",48.0708,-122.1006,100,"adult, sex uncertain, song",//www.xeno-canto.org/557838,//creativecommons.org/licenses/by-nc-sa/4.0/,11:51,2020-03-14,"Recorded with Voice Record Pro on iPhone7, normalized to -3dB and converted to mp3.  Beginning and end trimmed to remove noises by the recordist but otherwise no modifications.  Bird was singing from shrubs in the understory, 1-2 feet off the ground.",557838-17.wav,184.51446,220.0,74.26671277166103,0.0,255.0
544036,Thryomanes,bewickii,,Bewick's Wren,Bobby Wilcox,United States,"Parker, La Paz County, Arizona",34.2871,-114.0744,150,song,//www.xeno-canto.org/544036,//creativecommons.org/licenses/by-nc-sa/4.0/,08:00,2020-04-10,About 20m away in dense tangled understory of cottonwood and tamarisk dominated riparian area. Song Sparrow sings at about 0:05.,544036-0.wav,178.59218,224.0,80.09838957711696,0.0,255.0
544036,Thryomanes,bewickii,,Bewick's Wren,Bobby Wilcox,United States,"Parker, La Paz County, Arizona",34.2871,-114.0744,150,song,//www.xeno-canto.org/544036,//creativecommons.org/licenses/by-nc-sa/4.0/,08:00,2020-04-10,About 20m away in dense tangled understory of cottonwood and tamarisk dominated riparian area. Song Sparrow sings at about 0:05.,544036-1.wav,182.640685,216.0,76.07650256636917,0.0,255.0
544036,Thryomanes,bewickii,,Bewick's Wren,Bobby Wilcox,United States,"Parker, La Paz County, Arizona",34.2871,-114.0744,150,song,//www.xeno-canto.org/544036,//creativecommons.org/licenses/by-nc-sa/4.0/,08:00,2020-04-10,About 20m away in dense tangled understory of cottonwood and tamarisk dominated riparian area. Song Sparrow sings at about 0:05.,544036-2.wav,178.016975,218.0,80.41008062954155,0.0,255.0
